Name,Color,Rarity,# Seen,ALSA,# Picked,ATA,# GIH,GIH WR,OH WR,IWD
Fíli the Pathfinder,W,R,12840,2.30,7641,1.92,21694,66.0%,65.1%,1.8%
An Unexpected Party,W,R,11631,2.54,6802,2.12,19204,65.2%,64.0%,2.1%
Kíli the Resourceful,W,U,28601,3.72,15114,3.13,39114,62.8%,62.1%,1.3%
"Gollum, Riddle Master",B,R,10952,2.84,6410,2.36,17406,63.7%,62.9%,1.5%
Smaug the Magnificent,R,M,4921,1.62,3349,1.38,9392,63.9%,63.1%,1.4%
Beorn the Fierce,G,R,9750,2.91,5618,2.44,16311,63.1%,62.4%,1.2%
Chief Warg's Company,BG,U,25100,4.02,13211,3.52,34725,63.0%,62.0%,1.8%
Dáin Ironfoot,R,U,26004,4.31,13029,3.74,35017,61.3%,60.7%,1.1%
Celebrate the Mountain-king,W,U,24408,4.22,12114,3.61,32208,61.8%,60.5%,2.0%
Desolation Prowler,B,C,48217,5.84,23002,5.12,61771,61.6%,60.9%,1.2%
Mirkwood Pathmaker,G,C,50112,6.04,23504,5.31,64002,59.8%,58.9%,1.4%
"Gandalf, Goblins' Bane",R,U,22104,5.12,10912,4.41,28934,58.7%,58.2%,0.8%
Wargling,G,C,51332,6.55,24111,5.82,65133,57.9%,57.1%,1.1%
Hobbit Hole,C,C,53112,7.32,24903,6.48,67449,55.4%,55.1%,0.4%
