Card,Avg Last Offered,In Hand WR,In Hand WR Difference,In Opening Hand WR,Played WR,Included WR,Total Games
Fíli the Pathfinder,2.1,64.5%,1.7%,63.7%,64.8%,64.1%,18490
An Unexpected Party,2.4,62.5%,1.9%,61.8%,63.0%,62.2%,16101
Kíli the Resourceful,3.3,61.0%,1.2%,60.5%,61.4%,60.8%,32117
"Gollum, Riddle Master",2.6,61.8%,1.3%,61.1%,62.2%,61.4%,14328
Smaug the Magnificent,1.7,63.1%,1.2%,62.4%,63.6%,62.8%,8117
Beorn the Fierce,2.8,60.9%,1.0%,60.1%,61.4%,60.7%,13109
Chief Warg's Company,3.8,60.4%,1.5%,59.6%,61.0%,60.1%,28044
Dáin Ironfoot,4.0,60.1%,0.9%,59.5%,60.5%,59.8%,28201
Celebrate the Mountain-king,4.1,59.3%,1.7%,58.4%,60.0%,59.0%,26118
Desolation Prowler,5.1,59.2%,1.0%,58.7%,59.6%,59.0%,49003
Mirkwood Pathmaker,5.5,58.2%,1.2%,57.4%,58.7%,57.9%,50128
"Gandalf, Goblins' Bane",4.7,57.8%,0.6%,57.4%,58.1%,57.6%,23104
Wargling,5.9,56.9%,0.8%,56.4%,57.2%,56.7%,51220
Hobbit Hole,6.8,55.3%,0.2%,55.0%,55.6%,55.2%,53310
